Driver,Team,PitTimeSeconds,PitTimeMinutes
ALB,Williams,3048.4150000000013,50.80691666666669
ALO,Aston Martin,4625.691999999999,77.09486666666665
BEA,Ferrari,22.45299999999952,0.37421666666665865
BOT,Kick Sauber,4672.704,77.8784
GAS,Alpine,4534.510999999997,75.57518333333329
HAM,Mercedes,4570.062999999997,76.16771666666662
HUL,Haas F1 Team,2229.5819999999994,37.159699999999994
LEC,Ferrari,4578.611000000001,76.31018333333334
MAG,Haas F1 Team,2236.432,37.27386666666666
NOR,McLaren,4475.849000000001,74.59748333333336
OCO,Alpine,2231.1569999999997,37.18595
PER,Red Bull Racing,2271.712999999999,37.86188333333332
PIA,McLaren,4522.124000000002,75.36873333333337
RIC,RB,2917.1300000000006,48.61883333333334
RUS,Mercedes,4539.5779999999995,75.65963333333333
SAI,Ferrari,4448.4630000000025,74.14105000000004
SAR,Williams,4599.992999999997,76.66654999999994
STR,Aston Martin,4711.544,78.52573333333333
TSU,RB,4496.238000000001,74.93730000000002
VER,Red Bull Racing,4516.360999999997,75.27268333333329
ZHO,Kick Sauber,4740.806999999998,79.01344999999996
