DriverNumber,Compound,LapCount,ClassifiedPosition
1,HARD,27,6
1,MEDIUM,51,6
2,HARD,57,15
2,MEDIUM,19,15
3,HARD,75,12
3,MEDIUM,1,12
4,HARD,77,4
4,MEDIUM,1,4
10,HARD,1,10
10,MEDIUM,76,10
11,HARD,1,R
14,HARD,1,11
14,MEDIUM,75,11
16,HARD,77,1
16,MEDIUM,1,1
18,HARD,7,14
18,MEDIUM,41,14
18,SOFT,28,14
20,HARD,1,R
22,HARD,76,8
22,MEDIUM,1,8
23,HARD,76,9
23,MEDIUM,1,9
24,HARD,69,16
24,MEDIUM,1,16
24,SOFT,6,16
27,MEDIUM,1,R
31,HARD,1,R
44,HARD,28,7
44,MEDIUM,50,7
55,HARD,77,3
55,MEDIUM,1,3
63,HARD,1,5
63,MEDIUM,77,5
77,HARD,62,13
77,MEDIUM,14,13
81,HARD,77,2
81,MEDIUM,1,2
